datetime,Open,High,Low,Close,Volume
2023-02-09,22955.90000,23007.80000,21684.70000,21793.40000,732295.35000
2023-02-10,21793.30000,21933.80000,21405.00000,21618.60000,439986.49700
2023-02-11,21618.60000,21891.90000,21594.40000,21851.30000,189249.66700
2023-02-12,21851.20000,22080.90000,21618.00000,21771.10000,276787.09300
2023-02-13,21771.00000,21888.00000,21338.00000,21766.20000,511595.69300
2023-02-14,21766.10000,22320.00000,21485.20000,22187.40000,598791.50900
2023-02-15,22187.40000,24420.00000,22038.50000,24332.60000,824676.47100
2023-02-16,24332.70000,25290.00000,23518.00000,23526.60000,959463.15900
2023-02-17,23526.60000,25043.20000,23350.00000,24581.50000,922717.14800
2023-02-18,24581.30000,24887.50000,24430.60000,24636.90000,261555.55600
2023-02-19,24636.80000,25200.00000,24179.40000,24265.90000,543506.62800
2023-02-20,24265.90000,25140.00000,23827.00000,24849.90000,646401.07200
2023-02-21,24849.90000,25347.60000,24150.00000,24443.40000,729290.57500
2023-02-22,24443.30000,24468.50000,23572.00000,24171.30000,730414.10100
2023-02-23,24171.30000,24588.00000,23590.00000,23928.80000,751339.41400
2023-02-24,23928.70000,24138.60000,22800.00000,23175.60000,731577.94200
2023-02-25,23175.50000,23210.50000,22700.00000,23146.20000,310795.64800
2023-02-26,23146.20000,23675.00000,23050.00000,23545.30000,371395.05600
2023-02-27,23545.20000,23888.00000,23088.00000,23480.00000,576754.96600
2023-02-28,23480.00000,23592.80000,23010.00000,23129.60000,456919.83800
2023-03-01,23129.70000,24022.70000,23008.40000,23619.80000,617250.31100
2023-03-02,23619.80000,23790.50000,23183.00000,23457.10000,419256.60100
2023-03-03,23457.10000,23468.50000,21883.20000,22342.80000,608518.13700
2023-03-04,22342.80000,22400.00000,22147.50000,22335.70000,175309.21100
2023-03-05,22335.80000,22650.00000,22174.90000,22419.40000,282261.74500
2023-03-06,22419.30000,22594.50000,22240.10000,22397.10000,298976.39700
2023-03-07,22397.10000,22550.00000,21908.00000,22187.10000,548494.09900
2023-03-08,22187.10000,22276.40000,21540.50000,21695.40000,547867.96700
2023-03-09,21695.30000,21823.00000,20003.50000,20348.30000,951903.36000
2023-03-10,20348.40000,20351.80000,19521.60000,20140.30000,1238135.26500
2023-03-11,20140.30000,20674.50000,19752.50000,20447.30000,753479.55800
2023-03-12,20447.30000,22184.00000,20262.20000,21986.20000,881522.40200
2023-03-13,21986.20000,24517.20000,21804.00000,24119.50000,1534982.17600
2023-03-14,24119.50000,26489.90000,23951.00000,24682.50000,1572562.63500
2023-03-15,24682.50000,25200.00000,23888.00000,24288.00000,1102056.42900
2023-03-16,24287.90000,25167.90000,24120.50000,24990.40000,735446.94600
2023-03-17,24990.50000,27763.40000,24875.30000,27384.00000,1341159.06400
2023-03-18,27383.90000,27726.40000,26555.50000,26907.00000,740232.31600
2023-03-19,26907.00000,28397.00000,26815.90000,27955.70000,759367.07800
2023-03-20,27955.80000,28483.20000,27120.60000,27704.10000,937223.44800
2023-03-21,27704.10000,28460.00000,27288.00000,28091.10000,685487.71400
2023-03-22,28091.10000,28881.00000,26590.00000,27233.80000,1080393.27000
2023-03-23,27233.80000,28777.00000,27101.00000,28284.10000,808174.04700
2023-03-24,28284.00000,28369.10000,26960.00000,27438.90000,696075.37000
2023-03-25,27439.00000,27788.00000,27131.80000,27447.30000,335674.05500
2023-03-26,27447.20000,28186.90000,27400.00000,27954.30000,399756.98500
2023-03-27,27954.30000,28019.40000,26480.00000,27112.00000,642434.82200
2023-03-28,27112.00000,27500.00000,26610.00000,27249.70000,585080.77200
2023-03-29,27249.70000,28649.90000,27223.60000,28338.50000,655852.97100
2023-03-30,28338.60000,29184.80000,27654.10000,28015.00000,770966.10000
2023-03-31,28015.00000,28675.30000,27500.00000,28454.90000,611557.29000
2023-04-01,28454.80000,28845.30000,28180.00000,28443.80000,256487.22200
2023-04-02,28443.70000,28516.50000,27820.00000,28161.20000,316658.67000
2023-04-03,28161.30000,28540.00000,27166.00000,27786.10000,741665.56300
2023-04-04,27786.10000,28450.00000,27650.20000,28155.20000,432370.61200
2023-04-05,28155.10000,28800.00000,27775.00000,28154.00000,543712.83800
2023-04-06,28154.00000,28175.00000,27684.20000,28022.80000,355916.78200
2023-04-07,28022.90000,28096.00000,27755.00000,27890.70000,219250.17800
